Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,OverallQual**2,OverallQual**3,OverallQualsqrt,GrLivArea**2,GrLivArea**3,GrLivAreasqrt,GarageCars**2,GarageCars**3,GarageCarssqrt,GarageArea**2,GarageArea**3,GarageAreasqrt,TotalBsmtSF**2,TotalBsmtSF**3,TotalBsmtSFsqrt,1stFlrSF**2,1stFlrSF**3,1stFlrSFsqrt,FullBath**2,FullBath**3,FullBathsqrt,YearBuilt**2,YearBuilt**3,YearBuiltsqrt,TotRmsAbvGrd**2,TotRmsAbvGrd**3,TotRmsAbvGrdsqrt,YearRemodAdd**2,YearRemodAdd**3,YearRemodAddsqrt
1,60,RL,65.0,8450,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,196.0,Gd,TA,PConc,Gd,TA,No,GLQ,706,Unf,0,150,856,GasA,Ex,Y,SBrkr,856,854,0,1710,1,0,2,1,3,1,Gd,8,Typ,0,No,Attchd,2003.0,RFn,2,548,TA,TA,Y,0,61,0,0,0,0,No,No,No,0,2,2008,WD,Normal,208500,49,343,2.6457513110645907,2924100,5000211000,41.352146256270665,4,8,1.4142135623730951,300304,164566592,23.40939982143925,732736,627222016,29.257477676655586,732736,627222016,29.257477676655586,4,8,1.4142135623730951,4012009,8036054027,44.75488800120049,64,512,2.8284271247461903,4012009,8036054027,44.75488800120049
2,20,RL,80.0,9600,Pave,None,Reg,Lvl,AllPub,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,6,8,1976,1976,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,Gd,TA,Gd,ALQ,978,Unf,0,284,1262,GasA,Ex,Y,SBrkr,1262,0,0,1262,0,1,2,0,3,1,TA,6,Typ,1,TA,Attchd,1976.0,RFn,2,460,TA,TA,Y,298,0,0,0,0,0,No,No,No,0,5,2007,WD,Normal,181500,36,216,2.449489742783178,1592644,2009916728,35.52463933666322,4,8,1.4142135623730951,211600,97336000,21.447610589527216,1592644,2009916728,35.52463933666322,1592644,2009916728,35.52463933666322,4,8,1.4142135623730951,3904576,7715442176,44.45222154178574,36,216,2.449489742783178,3904576,7715442176,44.45222154178574
3,60,RL,68.0,11250,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,162.0,Gd,TA,PConc,Gd,TA,Mn,GLQ,486,Unf,0,434,920,GasA,Ex,Y,SBrkr,920,866,0,1786,1,0,2,1,3,1,Gd,6,Typ,1,TA,Attchd,2001.0,RFn,2,608,TA,TA,Y,0,42,0,0,0,0,No,No,No,0,9,2008,WD,Normal,223500,49,343,2.6457513110645907,3189796,5696975656,42.261093218230876,4,8,1.4142135623730951,369664,224755712,24.657656011875904,846400,778688000,30.331501776206203,846400,778688000,30.331501776206203,4,8,1.4142135623730951,4004001,8012006001,44.73253849269008,36,216,2.449489742783178,4008004,8024024008,44.74371464239419
4,70,RL,60.0,9550,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,5,1915,1970,Gable,CompShg,Wd Sdng,Wd Shng,None,0.0,TA,TA,BrkTil,TA,Gd,No,ALQ,216,Unf,0,540,756,GasA,Gd,Y,SBrkr,961,756,0,1717,1,0,1,0,3,1,Gd,7,Typ,1,Gd,Detchd,1998.0,Unf,3,642,TA,TA,Y,0,35,272,0,0,0,No,No,No,0,2,2006,WD,Abnorml,140000,49,343,2.6457513110645907,2948089,5061868813,41.43669871020132,9,27,1.7320508075688772,412164,264609288,25.337718918639855,571536,432081216,27.49545416973504,923521,887503681,31.0,1,1,1.0,3667225,7022735875,43.76071297408213,49,343,2.6457513110645907,3880900,7645373000,44.384682042344295
5,60,RL,84.0,14260,Pave,None,IR1,Lvl,AllPub,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,350.0,Gd,TA,PConc,Gd,TA,Av,GLQ,655,Unf,0,490,1145,GasA,Ex,Y,SBrkr,1145,1053,0,2198,1,0,2,1,4,1,Gd,9,Typ,1,TA,Attchd,2000.0,RFn,3,836,TA,TA,Y,192,84,0,0,0,0,No,No,No,0,12,2008,WD,Normal,250000,64,512,2.8284271247461903,4831204,10618986392,46.88283267892417,9,27,1.7320508075688772,698896,584277056,28.91366458960192,1311025,1501123625,33.83784863137726,1311025,1501123625,33.83784863137726,4,8,1.4142135623730951,4000000,8000000000,44.721359549995796,81,729,3.0,4000000,8000000000,44.721359549995796
6,50,RL,85.0,14115,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,1993,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,Wood,Gd,TA,No,GLQ,732,Unf,0,64,796,GasA,Ex,Y,SBrkr,796,566,0,1362,1,0,1,1,1,1,TA,5,Typ,0,No,Attchd,1993.0,Unf,2,480,TA,TA,Y,40,30,0,320,0,0,No,MnPrv,Shed,700,10,2009,WD,Normal,143000,25,125,2.23606797749979,1855044,2526569928,36.90528417449187,4,8,1.4142135623730951,230400,110592000,21.908902300206645,633616,504358336,28.21347195933177,633616,504358336,28.21347195933177,1,1,1.0,3972049,7916293657,44.64302857109943,25,125,2.23606797749979,3980025,7940149875,44.66542286825459
7,20,RL,75.0,10084,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,186.0,Gd,TA,PConc,Ex,TA,Av,GLQ,1369,Unf,0,317,1686,GasA,Ex,Y,SBrkr,1694,0,0,1694,1,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2004.0,RFn,2,636,TA,TA,Y,255,57,0,0,0,0,No,No,No,0,8,2007,WD,Normal,307000,64,512,2.8284271247461903,2869636,4861163384,41.15823125451335,4,8,1.4142135623730951,404496,257259456,25.219040425836983,2842596,4792616856,41.060930335295616,2869636,4861163384,41.15823125451335,4,8,1.4142135623730951,4016016,8048096064,44.76605857119878,49,343,2.6457513110645907,4020025,8060150125,44.77722635447622
8,60,RL,0.0,10382,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,1973,Gable,CompShg,HdBoard,HdBoard,Stone,240.0,TA,TA,CBlock,Gd,TA,Mn,ALQ,859,BLQ,32,216,1107,GasA,Ex,Y,SBrkr,1107,983,0,2090,1,0,2,1,3,1,TA,7,Typ,2,TA,Attchd,1973.0,RFn,2,484,TA,TA,Y,235,204,228,0,0,0,No,No,Shed,350,11,2009,WD,Normal,200000,49,343,2.6457513110645907,4368100,9129329000,45.71651780264984,4,8,1.4142135623730951,234256,113379904,22.0,1225449,1356572043,33.27160951922825,1225449,1356572043,33.27160951922825,4,8,1.4142135623730951,3892729,7680354317,44.41846462902562,49,343,2.6457513110645907,3892729,7680354317,44.41846462902562
9,50,RM,51.0,6120,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,1931,1950,Gable,CompShg,BrkFace,Wd Shng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,952,952,GasA,Gd,Y,FuseF,1022,752,0,1774,0,0,2,0,2,2,TA,8,Min1,2,TA,Detchd,1931.0,Unf,2,468,Fa,TA,Y,90,0,205,0,0,0,No,No,No,0,4,2008,WD,Abnorml,129900,49,343,2.6457513110645907,3147076,5582912824,42.118879377305376,4,8,1.4142135623730951,219024,102503232,21.633307652783937,906304,862801408,30.854497241083024,1044484,1067462648,31.96873472629156,4,8,1.4142135623730951,3728761,7200237491,43.94314508543966,64,512,2.8284271247461903,3802500,7414875000,44.15880433163923
10,190,RL,50.0,7420,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,1939,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,GLQ,851,Unf,0,140,991,GasA,Ex,Y,SBrkr,1077,0,0,1077,1,0,1,0,2,2,TA,5,Typ,2,TA,Attchd,1939.0,RFn,1,205,Gd,TA,Y,0,4,0,0,0,0,No,No,No,0,1,2008,WD,Normal,118000,25,125,2.23606797749979,1159929,1249243533,32.817678162843876,1,1,1.0,42025,8615125,14.317821063276353,982081,973242271,31.480152477394387,1159929,1249243533,32.817678162843876,1,1,1.0,3759721,7290099019,44.034077712607996,25,125,2.23606797749979,3802500,7414875000,44.15880433163923
